Frequenz;MEMS;Referenz
0;72.2;32.5
10;72.4;34.4
20;72.6;42.1
30;72.6;58.3
40;73;65.9
50;73.1;68.2
60;74.7;72.9
70;78;78.4
80;80;84.7
90;79;84.7
100;73.9;81.6
200;72;75
300;73.6;75.3
400;76.7;76.2
500;79.5;77
600;80.9;79.2
700;81.5;80.1
800;81.7;79.9
900;82;80
1000;82.3;78.3
1500;83.5;81.3
2000;85.5;80.8
2500;79.2;71.6
3000;80.2;71.7
3500;77.8;65.7
4000;77;68.7
4500;77.7;62.8
5000;80.4;67.6
5500;81.5;73.1
6000;79.5;71.3
6500;76;59.6
7000;77.5;64.7
7500;78;67.8
8000;75.3;64.3
8500;74.6;58.3
9000;76.6;67.6
9500;76.8;66.5
10000;75.9;69.7
10500;76.4;67.1
11000;76.8;65
11500;75.2;63.3
12000;74.6;59.2
12500;75.7;64.7
13000;74.5;65.6
13500;74.1;59.7
14000;73.8;65
14500;73.8;62.7
15000;73.7;60.3
15500;74.2;61
16000;73.8;64.3
16500;73.8;64.7
17000;73.6;65.8
17500;73.3;64
18000;73.6;64.1
18500;73.6;66.9
19000;74.6;67.8
19500;73.6;70.8
20000;74.3;72
